project	det_plate
CAL	CAL049_XC.L10_24H_X2_B24
CAL	CAL154_XC.L10_24H_X3_B25
CAL	CAL204_XC.L10_24H_X3_B26
CAL	CAL004_XC.L10_24H_X3_B24
CAL	CAL139_XC.L10_24H_X1_B25
CAL	CAL043_XC.L10_24H_X1_B24
CAL	CAL052_XC.L10_24H_X2_B24
CAL	CAL206_XC.L10_24H_X2_B26
CAL	CAL054_XC.L10_24H_X3_B24
CAL	CAL090_XC.L10_24H_X3_B25
CAL	CAL228_XC.L10_24H_X3_B26
CAL	CAL136_XC.L10_24H_X1_B25
CAL	CAL079_XC.L10_24H_X2_B25
CAL	CAL126_XC.L10_24H_X1_B25
CAL	CAL045_XC.L10_24H_X3_B24
CAL	CAL066_XC.L10_24H_X3_B24
CAL	CAL059_XC.L10_24H_X2_B24
CAL	CAL081_XC.L10_24H_X4_B25
CAL	CAL086_XC.L10_24H_X2_B25
CAL	CAL246_XC.L10_24H_X2_B26
CAL	CAL031_XC.L10_24H_X2_B24
CAL	CAL070_XC.L10_24H_X2_B24
CAL	CAL054_XC.L10_24H_X2_B24
CAL	CAL106_XC.L10_24H_X2_B26
CAL	CAL144_XC.L10_24H_X1_B25
CAL	CAL159_XC.L10_24H_X3_B26
CAL	CAL243_XC.L10_24H_X2_B26
CAL	CAL211_XC.L10_24H_X3_B26
CAL	CAL.DMSO001_XC.L10_24H_X3_B25
CAL	CAL150_XC.L10_24H_X3_B25
CAL	CAL080_XC.L10_24H_X6_B25
CAL	CAL115_XC.L10_24H_X3_B26
CAL	CAL191_XC.L10_24H_X2_B26
CAL	CAL236_XC.L10_24H_X1_B26
CAL	CAL061_XC.L10_24H_X1_B24
CAL	CAL005_XC.L10_24H_X2_B24
CAL	CAL103_XC.L10_24H_X3_B26
CAL	CAL185_XC.L10_24H_X3_B26
CAL	CAL112_XC.L10_24H_X2_B26
CAL	CAL097_XC.L10_24H_X1_B26
CAL	CAL114_XC.L10_24H_X2_B26
CAL	CAL227_XC.L10_24H_X1_B26
CAL	CAL068_XC.L10_24H_X2_B24
CAL	CAL188_XC.L10_24H_X2_B26
CAL	CAL043_XC.L10_24H_X3_B24
CAL	CAL248_XC.L10_24H_X1_B26
CAL	CAL050_XC.L10_24H_X3_B24
CAL	CAL159_XC.L10_24H_X1_B26
CAL	CAL008_XC.L10_24H_X1_B24
CAL	CAL073_XC.L10_24H_X3.A2_B24
CAL	CAL001_XC.L10_24H_X3_B24
CAL	CAL056_XC.L10_24H_X3_B24
CAL	CAL075_XC.L10_24H_X3_B24
CAL	CAL128_XC.L10_24H_X3_B25
CAL	CAL183_XC.L10_24H_X2_B26
CAL	CAL165_XC.L10_24H_X2_B26
CAL	CAL015_XC.L10_24H_X2_B24
CAL	CAL138_XC.L10_24H_X3_B25
CAL	CAL174_XC.L10_24H_X3_B26
CAL	CAL124_XC.L10_24H_X1_B26
CAL	CAL012_XC.L10_24H_X3_B24
CAL	CAL018_XC.L10_24H_X1_B24
CAL	CAL.DMSO001_XC.L10_24H_X2_B25
CAL	CAL073_XC.L10_24H_X1_B24
CAL	CAL088_XC.L10_24H_X2_B25
CAL	CAL096_XC.L10_24H_X1_B26
CAL	CAL025_XC.L10_24H_X2.L2_B24
CAL	CAL135_XC.L10_24H_X1_B25
CAL	CAL242_XC.L10_24H_X3_B26
