SAMPLE_NAME	PERT_TYPE	PERT_MFC_DESC	CCSCORE	DYN_RANGE	DYN_RANGE_MAX	SPAN	MED_INT	MED_GAPDH	INV_LEVEL_01	INV_LEVEL_02	INV_LEVEL_03	INV_LEVEL_04	INV_LEVEL_05	INV_LEVEL_06	INV_LEVEL_07	INV_LEVEL_08	INV_LEVEL_09	INV_LEVEL_10
329(1,I21)	TRT	TRT	0.864473	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	5.00	7.00	7.00	10.00
330(1,J21)	TRT	TRT	0.887425	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.00	11.00
331(1,K21)	TRT	TRT	0.932259	3.33333	3.33333	7	9.00	NA	3.00	3.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
332(1,L21)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.50	11.00
333(1,M21)	TRT	TRT	0.944069	2.5	2.5	6	9.00	NA	4.00	3.00	4.00	5.00	5.00	5.00	5.00	7.00	7.00	10.00
334(1,N21)	TRT	TRT	0.966092	2.5	2.5	6	9.00	NA	4.00	4.00	4.00	4.00	5.00	6.00	6.00	7.00	8.00	10.00
335(1,O21)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	8.00	11.00
336(1,P21)	TRT	TRT	0.978558	3.66667	3.66667	8	9.00	NA	3.00	3.00	4.00	4.00	5.00	5.00	6.00	6.00	6.00	11.00
337(1,A22)	TRT	TRT	0.953545	2.5	2.5	6	9.00	NA	4.00	3.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
338(1,B22)	TRT	TRT	0.923186	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	6.50	7.00	10.00
339(1,C22)	TRT	TRT	0.91747	3.66667	3.66667	8	9.00	NA	3.00	3.00	4.50	5.00	5.00	4.00	6.00	6.00	7.00	11.00
340(1,D22)	TRT	TRT	0.975456	3.33333	3.33333	7	9.00	NA	3.00	4.00	4.00	4.00	5.00	5.00	5.00	6.00	7.00	10.00
341(1,E22)	TRT	TRT	0.934199	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	5.00	6.00	7.00	12.00
342(1,F22)	TRT	TRT	0.975456	3.33333	3.33333	7	9.00	NA	3.00	4.00	4.00	4.00	5.00	6.00	6.00	6.00	8.00	10.00
343(1,G22)	TRT	TRT	0.938721	3.33333	3.33333	7	9.00	NA	3.00	4.00	4.00	6.00	5.00	5.00	6.00	7.00	7.00	10.00
344(1,H22)	TRT	TRT	0.923186	3.33333	3.33333	7	9.00	NA	3.00	3.00	5.00	5.00	4.00	5.00	6.00	7.00	6.50	10.00
345(1,I22)	TRT	TRT	0.817424	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	4.00	4.00	4.00	6.00	6.00	7.00	10.00
346(1,J22)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
347(1,K22)	TRT	TRT	0.934199	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	5.00	6.00	7.00	10.00
348(1,L22)	TRT	TRT	0.96295	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	12.00
349(1,M22)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
350(1,N22)	TRT	TRT	0.908968	2.625	2.625	6.5	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	5.00	6.00	6.00	10.50
351(1,O22)	TRT	TRT	0.919911	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
352(1,P22)	TRT	TRT	0.919911	4	4	9	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	12.00
353(1,A23)	TRT	TRT	0.884205	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	5.00	5.00	6.00	10.00
354(1,B23)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.50	11.00
355(1,C23)	TRT	TRT	0.849662	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	7.00	6.00	6.00	11.00
356(1,D23)	TRT	TRT	0.98165	3.42857	3.42857	8.5	9.00	NA	3.50	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
357(1,E23)	TRT	TRT	0.972345	2.5	2.5	6	9.00	NA	4.00	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
358(1,F23)	TRT	TRT	0.919911	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	4.00	4.00	5.00	6.00	6.00	7.00	11.00
359(1,G23)	TRT	TRT	0.934199	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	5.00	6.00	7.00	10.00
360(1,H23)	TRT	TRT	0.922817	3	3	8	9.00	NA	4.00	4.00	5.00	4.00	5.00	6.00	7.00	6.00	7.00	12.00
361(1,I23)	TRT	TRT	0.947591	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	7.00	11.00
362(1,J23)	TRT	TRT	0.956717	4	4	9	9.00	NA	3.00	4.00	4.00	4.00	4.00	5.00	7.00	6.00	8.00	12.00
363(1,K23)	TRT	TRT	0.96295	2.25	2.25	5	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	9.00
364(1,L23)	TRT	TRT	0.972423	3	3	8	9.00	NA	4.00	3.00	5.00	5.00	5.00	6.00	6.00	6.50	7.00	12.00
365(1,M23)	TRT	TRT	0.919911	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
366(1,N23)	TRT	TRT	0.972345	4	4	9	9.00	NA	3.00	3.00	5.00	5.00	5.00	6.00	6.00	6.00	7.00	12.00
367(1,O23)	TRT	TRT	0.925187	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
368(1,P23)	TRT	TRT	0.823911	2.75	2.75	7	9.00	NA	4.00	3.00	5.00	5.00	4.00	5.00	5.00	5.00	7.00	11.00
369(1,A24)	TRT	TRT	0.897549	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
370(1,B24)	TRT	TRT	0.890812	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	6.00	7.00	8.00	11.00
371(1,C24)	TRT	TRT	0.897549	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	10.00
372(1,D24)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
373(1,E24)	TRT	TRT	0.867941	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	5.00	6.00	7.00	11.00
374(1,F24)	TRT	TRT	0.887425	3	3	8	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	6.00	6.00	7.00	12.00
375(1,G24)	TRT	TRT	0.925187	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	4.00	5.00	5.00	5.00	7.00	7.00	10.00
376(1,H24)	TRT	TRT	0.887425	2.25	2.25	5	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.00	9.00
377(1,I24)	TRT	TRT	0.871992	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.50	5.00	6.00	5.00	7.00	11.00
378(1,J24)	TRT	TRT	0.897549	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	6.00	4.00	6.00	6.00	7.00	7.00	10.00
379(1,K24)	TRT	TRT	0.890812	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	5.00	6.00	7.00	11.00
380(1,L24)	TRT	TRT	0.893282	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	4.00	4.00	6.00	6.00	6.00	7.00	10.00
381(1,M24)	TRT	TRT	0.887425	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	4.00	4.00	5.00	6.00	6.00	7.00	10.00
382(1,N24)	TRT	TRT	0.922817	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	6.00	5.00	7.00	6.00	7.00	11.00
383(1,O24)	TRT	TRT	0.944069	3	3	8	9.00	NA	4.00	4.00	4.00	4.00	5.00	5.00	6.00	7.00	6.00	12.00
384(1,P24)	TRT	TRT	0.925187	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
