SAMPLE_NAME	PERT_TYPE	PERT_MFC_DESC	CCSCORE	DYN_RANGE	DYN_RANGE_MAX	SPAN	MED_INT	MED_GAPDH	INV_LEVEL_01	INV_LEVEL_02	INV_LEVEL_03	INV_LEVEL_04	INV_LEVEL_05	INV_LEVEL_06	INV_LEVEL_07	INV_LEVEL_08	INV_LEVEL_09	INV_LEVEL_10
206(1,N13)	TRT	TRT	0.900899	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	7.00	8.00	11.00
207(1,O13)	TRT	TRT	0.963128	2.75	2.75	7	9.00	NA	4.00	3.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
208(1,P13)	TRT	TRT	0.819978	2.75	2.75	7	9.00	NA	4.00	4.00	6.00	5.00	5.00	5.00	6.00	6.00	6.00	11.00
209(1,A14)	TRT	TRT	0.972345	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
210(1,B14)	TRT	TRT	0.972518	2.75	2.75	7	9.00	NA	4.00	3.00	4.00	5.00	5.00	6.00	6.00	6.50	8.00	11.00
211(1,C14)	TRT	TRT	0.966092	4	4	9	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	12.00
212(1,D14)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	8.00	11.00
213(1,E14)	TRT	TRT	0.96295	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
214(1,F14)	TRT	TRT	0.897549	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.50	12.00
215(1,G14)	TRT	TRT	0.96295	2.625	2.625	6.5	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	10.50
216(1,H14)	TRT	TRT	0.98165	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	8.00	12.00
217(1,I14)	TRT	TRT	0.901389	4	4	9	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	7.00	6.00	7.00	12.00
218(1,J14)	TRT	TRT	0.897549	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	12.00
219(1,K14)	TRT	TRT	0.96295	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
220(1,L14)	TRT	TRT	0.930949	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	5.00	7.00	7.00	11.00
221(1,M14)	TRT	TRT	0.815532	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	4.00	5.50	6.00	7.00	10.00
222(1,N14)	TRT	TRT	0.882867	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	4.00	5.00	6.50	6.00	6.00	10.00
223(1,O14)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
224(1,P14)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	4.00	5.00	5.00	6.00	6.00	7.00	11.00
225(1,A15)	TRT	TRT	0.966092	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
226(1,B15)	TRT	TRT	0.972345	3	3	8	9.00	NA	4.00	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	12.00
227(1,C15)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	11.00
228(1,D15)	TRT	TRT	0.897549	3	3	6	9.00	NA	3.00	3.00	5.00	6.00	5.00	5.00	6.00	6.00	8.00	9.00
229(1,E15)	TRT	TRT	0.876047	2.75	2.75	7	9.00	NA	4.00	3.00	5.00	4.00	4.00	5.00	5.00	7.00	7.50	11.00
230(1,F15)	TRT	TRT	0.858172	3.66667	3.66667	8	9.00	NA	3.00	3.00	4.00	6.00	5.00	6.00	6.00	5.00	7.00	11.00
231(1,G15)	TRT	TRT	0.925187	2.75	2.75	7	9.00	NA	4.00	4.00	4.00	5.00	4.00	5.00	6.00	6.00	7.00	11.00
232(1,H15)	TRT	TRT	0.975456	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	5.00	6.00	6.00	6.00	7.00	10.00
233(1,I15)	TRT	TRT	0.934947	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	4.00	5.00	5.00	6.00	6.00	7.00	11.00
234(1,J15)	TRT	TRT	0.963128	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	7.00	6.00	8.00	12.00
235(1,K15)	TRT	TRT	0.975534	3.66667	3.66667	8	9.00	NA	3.00	4.00	4.50	5.00	5.00	5.00	7.00	6.00	8.00	11.00
